geracao_id,client_id,client_name,limite_id,mes_referencia,tipo_entrega,origem_geracao,solicitado_por,responsavel_operacional,status_geracao,status_anterior,ocupa_limite_operacional,consumo_definitivo,libera_espaco,confirmacao_interna_liberacao,motivo_alteracao,link_resultado_drive,prompt_interno_id,observacao,data_status,data_criacao,data_atualizacao
8ff93e69-37a0-46a8-be91-83f3d4ecec21,FLUXAI_LABS_001,FluxAI Labs,IA_FLUXAI_LABS_001,46204,story,contrato,Kássia Gomes,Design,rascunho_ia,,sim,nao,nao,,nova_geracao_ia,,,Rascunho gerado via FluxAI OS,"46210,60149","46210,60149","46210,60149"
2fc9f348-612f-461f-9048-6d0ecac0fbfe,FLUXAI_LABS_001,FluxAI Labs,IA_FLUXAI_LABS_001,46204,story,contrato,Kássia Gomes,Design,rascunho_ia,,sim,nao,nao,,nova_geracao_ia,,,Rascunho gerado via FluxAI OS,"46210,60154","46210,60154","46210,60154"
8b6f3075-a76f-4f54-9e8c-413e4c969b34,FLUXAI_LABS_001,FluxAI Labs,IA_FLUXAI_LABS_001,46204,story,contrato,Kássia Gomes,Design,rascunho_ia,,sim,nao,nao,,nova_geracao_ia,,,Rascunho gerado via FluxAI OS,"46210,6016","46210,6016","46210,6016"
fce23afc-02d9-45ca-8b4a-009c08984c75,FLUXAI_LABS_001,FluxAI Labs,IA_FLUXAI_LABS_001,46204,story,contrato,Kássia Gomes,Design,rascunho_ia,,sim,nao,nao,,nova_geracao_ia,,,Rascunho gerado via FluxAI OS,"46210,60166","46210,60166","46210,60166"
b1d0eb21-2ad9-4762-97d9-9041cfcb84c6,FLUXAI_LABS_001,FluxAI Labs,IA_FLUXAI_LABS_001,46204,story,contrato,Kássia Gomes,Design,rascunho_ia,,sim,nao,nao,,nova_geracao_ia,,,Rascunho gerado via FluxAI OS,"46210,60171","46210,60171","46210,60171"
265788d0-c684-47d0-ae66-341d8436cb54,FLUXAI_LABS_001,FluxAI Labs,IA_FLUXAI_LABS_001,46204,story,contrato,Kássia Gomes,Design,rascunho_ia,,sim,nao,nao,,nova_geracao_ia,,,Rascunho gerado via FluxAI OS,"46210,60177","46210,60177","46210,60177"
53d8687f-93f8-4239-9ca7-12df0df79efb,FLUXAI_LABS_001,FluxAI Labs,IA_FLUXAI_LABS_001,46204,story,contrato,Kássia Gomes,Design,rascunho_ia,,sim,nao,nao,,nova_geracao_ia,,,Rascunho gerado via FluxAI OS,"46210,60184","46210,60184","46210,60184"
2193ef5b-579b-4f49-9ec7-fa964fe87157,FLUXAI_LABS_001,FluxAI Labs,IA_FLUXAI_LABS_001,46204,story,contrato,Kássia Gomes,Design,rascunho_ia,,sim,nao,nao,,nova_geracao_ia,,,Rascunho gerado via FluxAI OS,"46210,6019","46210,6019","46210,6019"
f7003ed4-5ed1-445c-9c7b-b502aae46f5b,FLUXAI_LABS_001,FluxAI Labs,IA_FLUXAI_LABS_001,46204,story,contrato,Kássia Gomes,Design,rascunho_ia,,sim,nao,nao,,nova_geracao_ia,,,Rascunho gerado via FluxAI OS,"46210,60196","46210,60196","46210,60196"
24891d72-d3c9-40a0-bb85-ac833d138910,FLUXAI_LABS_001,FluxAI Labs,IA_FLUXAI_LABS_001,46204,story,contrato,Kássia Gomes,Design,rascunho_ia,,sim,nao,nao,,nova_geracao_ia,,,Rascunho gerado via FluxAI OS,"46210,60201","46210,60201","46210,60201"
dea3d4c0-3927-40d5-8918-5b103eefcc41,FLUXAI_LABS_001,FluxAI Labs,IA_FLUXAI_LABS_001,46204,story,contrato,Kássia Gomes,Design,rascunho_ia,,sim,nao,nao,,nova_geracao_ia,,,Rascunho gerado via FluxAI OS,"46210,60207","46210,60207","46210,60207"
22ce9f89-52e8-407a-9383-2d5ed982d350,FLUXAI_LABS_001,FluxAI Labs,IA_FLUXAI_LABS_001,46204,post_estatico,contrato,Kássia Gomes,Design,rascunho_ia,,sim,nao,nao,,nova_geracao_ia,,,Rascunho gerado via FluxAI OS,"46210,60213","46210,60213","46210,60213"
68d7f557-109b-4864-ace2-21351668b692,FLUXAI_LABS_001,FluxAI Labs,IA_FLUXAI_LABS_001,46204,post_estatico,contrato,Kássia Gomes,Design,rascunho_ia,,sim,nao,nao,,nova_geracao_ia,,,Rascunho gerado via FluxAI OS,"46210,60219","46210,60219","46210,60219"
edc2d9f0-b521-426e-b512-0c6e23de117c,FLUXAI_LABS_001,FluxAI Labs,IA_FLUXAI_LABS_001,46204,post_estatico,contrato,Kássia Gomes,Design,rascunho_ia,,sim,nao,nao,,nova_geracao_ia,,,Rascunho gerado via FluxAI OS,"46210,60225","46210,60225","46210,60225"
8e134483-e6e7-4716-9b55-905646757293,FLUXAI_LABS_001,FluxAI Labs,IA_FLUXAI_LABS_001,46204,post_estatico,contrato,Kássia Gomes,Design,rascunho_ia,,sim,nao,nao,,nova_geracao_ia,,,Rascunho gerado via FluxAI OS,"46210,6023","46210,6023","46210,6023"
10039545-4c99-4b1c-8635-8ab18dda9bd8,FLUXAI_LABS_001,FluxAI Labs,IA_FLUXAI_LABS_001,46204,anuncio,contrato,Kássia Gomes,Design,rascunho_ia,,sim,nao,nao,,nova_geracao_ia,,,Rascunho gerado via FluxAI OS,"46210,60236","46210,60236","46210,60236"
d635085c-1096-4c64-9df8-bfd781db7791,FLUXAI_LABS_001,FluxAI Labs,IA_FLUXAI_LABS_001,46204,anuncio,contrato,Kássia Gomes,Design,rascunho_ia,,sim,nao,nao,,nova_geracao_ia,,,Rascunho gerado via FluxAI OS,"46210,60243","46210,60243","46210,60243"
c0fa1bf4-ce59-4f24-ab6c-fca838d237b2,FLUXAI_LABS_001,FluxAI Labs,IA_FLUXAI_LABS_001,46204,anuncio,contrato,Kássia Gomes,Design,rascunho_ia,,sim,nao,nao,,nova_geracao_ia,,,Rascunho gerado via FluxAI OS,"46210,60249","46210,60249","46210,60249"
34591f66-bff5-44fd-93af-1e2efb06e324,FLUXAI_LABS_001,FluxAI Labs,IA_FLUXAI_LABS_001,46204,outro,contrato,Kássia Gomes,Design,rascunho_ia,,sim,nao,nao,,nova_geracao_ia,,,Rascunho gerado via FluxAI OS,"46210,60253","46210,60253","46210,60253"
3873f98f-a0f6-4ac0-92c0-2757f3e48ab7,FLUXAI_LABS_001,FluxAI Labs,IA_FLUXAI_LABS_001,46204,outro,contrato,Kássia Gomes,Design,rascunho_ia,,sim,nao,nao,,nova_geracao_ia,,,Rascunho gerado via FluxAI OS,"46210,60259","46210,60259","46210,60259"
8d6c7373-e242-4c7a-8217-ab454c3653d0,FLUXAI_LABS_001,FluxAI Labs,IA_FLUXAI_LABS_001,46204,post_estatico,contrato,Kássia Gomes,Design,rascunho_ia,,sim,nao,nao,,nova_geracao_ia,,,Rascunho gerado via FluxAI OS,"46210,60264","46210,60264","46210,60264"
19833d26-1f22-44d2-8897-5ea4b25b3235,FLUXAI_LABS_001,FluxAI Labs,IA_FLUXAI_LABS_001,46204,outro,contrato,Kássia Gomes,Design,rascunho_ia,,sim,nao,nao,,nova_geracao_ia,,,Rascunho gerado via FluxAI OS,"46210,6027","46210,6027","46210,6027"
5365bb4e-2ac1-4957-896e-0bfa307ce689,FLUXAI_LABS_001,FluxAI Labs,IA_FLUXAI_LABS_001,46204,outro,contrato,Kássia Gomes,Design,rascunho_ia,,sim,nao,nao,,nova_geracao_ia,,,Rascunho gerado via FluxAI OS,"46210,60274","46210,60274","46210,60274"
b1e5d8c6-459a-42e8-9d0a-a284c6f5e460,FLUXAI_LABS_001,FluxAI Labs,IA_FLUXAI_LABS_001,46204,outro,contrato,Kássia Gomes,Design,rascunho_ia,,sim,nao,nao,,nova_geracao_ia,,,Rascunho gerado via FluxAI OS,"46210,60279","46210,60279","46210,60279"
6dac24b6-97b4-4c34-a37b-e2cd170a8488,FLUXAI_LABS_001,FluxAI Labs,IA_FLUXAI_LABS_001,46204,outro,contrato,Kássia Gomes,Design,rascunho_ia,,sim,nao,nao,,nova_geracao_ia,,,Rascunho gerado via FluxAI OS,"46210,60285","46210,60285","46210,60285"
49e5f43f-d2fa-428f-b349-8eba63839230,FLUXAI_LABS_001,FluxAI Labs,IA_FLUXAI_LABS_001,46204,outro,contrato,Kássia Gomes,Design,rascunho_ia,,sim,nao,nao,,nova_geracao_ia,,,Rascunho gerado via FluxAI OS,"46210,60289","46210,60289","46210,60289"
badabcac-0f67-4b72-9116-b4106d48c859,FLUXAI_LABS_001,FluxAI Labs,IA_FLUXAI_LABS_001,46204,outro,contrato,Kássia Gomes,Design,rascunho_ia,,sim,nao,nao,,nova_geracao_ia,,,Rascunho gerado via FluxAI OS,"46210,60294","46210,60294","46210,60294"
